OldFM;NewFM;Generator;Size;Time;NSpecificTests;NNotSpecificTests;Specificity;FaultDetection;CombinatorialCoverage
PPUv7.xml;PPUv2.xml;INCLING;6;6.0;3;3;0.5;0.7181818;1.0
PPUv7.xml;PPUv2.xml;GFE;6;4.0;3;3;0.5;0.7181818;1.0
PPUv7.xml;PPUv3.xml;SPECIFICITY_FMREDUCED;7;13.0;4;3;0.5714286;0.7;1.0
PPUv7.xml;PPUv3.xml;ACTS;7;47.0;4;3;0.5714286;0.7;1.0
PPUv7.xml;PPUv3.xml;MUTTESTGENERATOR;7;9.0;3;4;0.42857143;0.7;0.5181818
PPUv7.xml;PPUv3.xml;BDD_FMREDUCED;7;18.0;4;3;0.5714286;0.7;1.0
PPUv7.xml;PPUv3.xml;INCLING;7;6.0;4;3;0.5714286;0.7;1.0
PPUv7.xml;PPUv3.xml;GFE;7;3.0;4;3;0.5714286;0.7;1.0
PPUv7.xml;PPUv4.xml;SPECIFICITY_FMREDUCED;8;18.0;4;4;0.5;0.75974023;1.0
PPUv7.xml;PPUv4.xml;ACTS;9;100.0;4;5;0.44444445;0.75974023;1.0
PPUv7.xml;PPUv4.xml;MUTTESTGENERATOR;10;13.0;3;7;0.3;0.75974023;0.55448717
PPUv7.xml;PPUv4.xml;BDD_FMREDUCED;8;27.0;3;5;0.375;0.75974023;1.0
PPUv7.xml;PPUv4.xml;INCLING;9;7.0;4;5;0.44444445;0.75974023;1.0
PPUv7.xml;PPUv4.xml;GFE;9;5.0;4;5;0.44444445;0.75974023;1.0
PPUv7.xml;PPUv5.xml;SPECIFICITY_FMREDUCED;11;42.0;0;11;0.0;0.9067164;1.0
PPUv7.xml;PPUv5.xml;ACTS;12;223.0;0;12;0.0;0.9067164;1.0
PPUv7.xml;PPUv5.xml;MUTTESTGENERATOR;5;39.0;0;5;0.0;0.9067164;0.43014705
PPUv7.xml;PPUv5.xml;BDD_FMREDUCED;12;66.0;0;12;0.0;0.9067164;1.0
PPUv7.xml;PPUv5.xml;INCLING;13;10.0;0;13;0.0;0.9067164;1.0
PPUv7.xml;PPUv5.xml;GFE;11;9.0;0;11;0.0;0.9067164;1.0
PPUv7.xml;PPUv6.xml;SPECIFICITY_FMREDUCED;12;38.0;0;12;0.0;0.90495867;1.0
PPUv7.xml;PPUv6.xml;ACTS;12;175.0;0;12;0.0;0.90495867;1.0
PPUv7.xml;PPUv6.xml;MUTTESTGENERATOR;4;32.0;0;4;0.0;0.90495867;0.42916667
PPUv7.xml;PPUv6.xml;BDD_FMREDUCED;11;56.0;0;11;0.0;0.90495867;1.0
PPUv7.xml;PPUv6.xml;INCLING;13;11.0;0;13;0.0;0.90495867;1.0
PPUv7.xml;PPUv6.xml;GFE;11;6.0;0;11;0.0;0.90495867;1.0
PPUv7.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;13;48.0;0;13;0.0;0.9133574;1.0
PPUv7.xml;PPUv8.xml;ACTS;12;201.0;0;12;0.0;0.9130435;1.0
PPUv7.xml;PPUv8.xml;MUTTESTGENERATOR;4;47.0;0;4;0.0;0.9130435;0.41911766
PPUv7.xml;PPUv8.xml;BDD_FMREDUCED;13;78.0;0;13;0.0;0.9130435;1.0
PPUv7.xml;PPUv8.xml;INCLING;12;12.0;0;12;0.0;0.9130435;1.0
PPUv7.xml;PPUv8.xml;GFE;11;8.0;0;11;0.0;0.9133574;1.0
PPUv8.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;13.0;3;3;0.5;0.7181818;1.0
PPUv8.xml;PPUv2.xml;ACTS;6;49.0;3;3;0.5;0.7181818;1.0
PPUv8.xml;PPUv2.xml;MUTTESTGENERATOR;4;17.0;1;3;0.25;0.7181818;0.51363635
